"","Time","TS..Surface.temperature.","T2M (2m_Temperature)"
"1","1979-03-02",261.97,263.25
"2","1979-03-02 06:00:00",263.62,264.31
"3","1979-03-02 12:00:00",266.09,268.61
"4","1979-03-02 18:00:00",267.79,270.06
"5","1979-03-03",269.87,271.13
"6","1979-03-03 06:00:00",268.03,268.79
"7","1979-03-03 12:00:00",265.81,266.62
"8","1979-03-03 18:00:00",265.6,266.98
"9","1979-03-04",265.92,267.25
"10","1979-03-04 06:00:00",266.12,267.38
"11","1979-03-04 12:00:00",263.48,265.54
"12","1979-03-04 18:00:00",263.68,265.24
"13","1979-03-05",262.22,264.14
"14","1979-03-05 06:00:00",264.29,265.95
"15","1979-03-05 12:00:00",263.97,264.68
"16","1979-03-05 18:00:00",263.91,265.39
"17","1979-03-06",264.52,266.14
"18","1979-03-06 06:00:00",268.15,269.58
"19","1979-03-06 12:00:00",269.6,271.29
"20","1979-03-06 18:00:00",268.34,270.25
"21","1979-03-07",267.98,269.31
"22","1979-03-07 06:00:00",267.66,269.29
"23","1979-03-07 12:00:00",266.32,267.66
"24","1979-03-07 18:00:00",266.61,266.59
"25","1979-03-08",262.51,265.88
"26","1979-03-08 06:00:00",263.61,266.26
"27","1979-03-08 12:00:00",263.3,265.41
"28","1979-03-08 18:00:00",263.72,265.37
"29","1979-03-09",265.03,265.97
"30","1979-03-09 06:00:00",266.52,267.58
"31","1979-03-09 12:00:00",267.46,268.63
"32","1979-03-09 18:00:00",266.51,267.62
"33","1979-03-10",266.29,266.92
"34","1979-03-10 06:00:00",265.34,266.29
"35","1979-03-10 12:00:00",264.6,265.97
"36","1979-03-10 18:00:00",263.92,265.67
"37","1979-03-11",264.34,265.7
"38","1979-03-11 06:00:00",265.25,266.54
"39","1979-03-11 12:00:00",263.4,265.56
"40","1979-03-11 18:00:00",262.44,264.32
"41","1979-03-12",263.64,264.99
"42","1979-03-12 06:00:00",264.43,266.17
"43","1979-03-12 12:00:00",262.44,264.49
"44","1979-03-12 18:00:00",261.75,263.42
"45","1979-03-13",264.89,265.9
"46","1979-03-13 06:00:00",264.24,266.35
"47","1979-03-13 12:00:00",262.73,264.9
"48","1979-03-13 18:00:00",259.12,263.84
"49","1979-03-14",260.62,264.17
"50","1979-03-14 06:00:00",259.07,264.64
"51","1979-03-14 12:00:00",258.26,263.95
"52","1979-03-14 18:00:00",253.92,262.5
"53","1979-03-15",256.96,261.73
"54","1979-03-15 06:00:00",257.65,262.77
"55","1979-03-15 12:00:00",252.59,262.35
"56","1979-03-15 18:00:00",257.98,259.51
"57","1979-03-16",256.57,257.14
"58","1979-03-16 06:00:00",252.31,254.61
"59","1979-03-16 12:00:00",250.43,253.87
"60","1979-03-16 18:00:00",249.97,254.81
"61","1979-03-17",250.47,256.98
"62","1979-03-17 06:00:00",256.58,259.03
"63","1979-03-17 12:00:00",255.58,258.76
"64","1979-03-17 18:00:00",258.38,259.77
"65","1979-03-18",259.52,260.51
"66","1979-03-18 06:00:00",258.81,259
"67","1979-03-18 12:00:00",251.53,254.73
"68","1979-03-18 18:00:00",251.45,256.44
"69","1979-03-19",256.23,258.44
"70","1979-03-19 06:00:00",258.28,260.14
"71","1979-03-19 12:00:00",259.99,260.93
"72","1979-03-19 18:00:00",263.82,265.18
"73","1979-03-20",259.94,262.13
"74","1979-03-20 06:00:00",257.06,260.21
"75","1979-03-20 12:00:00",260.48,265.27
"76","1979-03-20 18:00:00",262.95,265.12
"77","1979-03-21",265.19,266.32
"78","1979-03-21 06:00:00",265.44,267.27
"79","1979-03-21 12:00:00",265.29,267.47
"80","1979-03-21 18:00:00",264.16,267.71
"81","1979-03-22",265.29,266.13
"82","1979-03-22 06:00:00",266.06,266.77
"83","1979-03-22 12:00:00",265.06,266.08
"84","1979-03-22 18:00:00",264.64,265.42
