"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall.Amount.Acc..Height...0.","Precipitation.Amount.Acc..Height...0.","Surface Downwelling Shortwave Flux In Air (Height = 0)"
"1","2019-03-03",264.98,266.1,-17.4,-5,11,264.97900390625,0.963289618492126,0,5.40316104888916e-05,7.15466356277466,3.30703353881836,3.30863571166992,29.265625
"2","2019-03-03 06:00:00",266.69,267.61,-13,-3,0.1,266.680847167969,0.959963262081146,0,8.72015953063965e-05,6.39532899856567,2.79792404174805,2.79901504516602,20.46875
"3","2019-03-03 12:00:00",261,265.3,-38.9,-15,-9.4,260.992065429688,0.955568432807922,0,1.13546848297119e-05,4.42720222473145,1.46886444091797,1.46944427490234,9.99999897748375e-16
"4","2019-03-03 18:00:00",261.1,265.27,-39.3,-15.2,-12.7,261.090576171875,0.957156896591187,0,2.08616256713867e-07,4.61369466781616,0.750869750976562,0.753913879394531,0
"5","2019-03-04",263.49,265.4,-24.3,-2.8,11,263.485107421875,0.893206417560577,0,0,6.04867887496948,0.0205879211425781,0.0255317687988281,31.703125
"6","2019-03-04 06:00:00",264.91,265.97,-3.6,-1.4,8.2,264.909057617188,0.983677506446838,7.15255737304688e-07,4.05311584472656e-06,1.56212484836578,0.00652694702148438,0.0073089599609375,20.15625
"7","2019-03-04 12:00:00",262.72,265.51,-5.6,-2.1,-5.1,262.712036132812,0.957035720348358,0,7.97733664512634e-05,0.660012602806091,0.335674285888672,0.335674285888672,9.99999897748375e-16
"8","2019-03-04 18:00:00",260.97,262.9,-5.5,-1.6,7.9,260.967651367188,0.963931322097778,1.19209289550781e-07,3.87728214263916e-05,1.36084997653961,1.09833908081055,1.10048675537109,0
"9","2019-03-05",263.36,263.08,1.9,4.8,5.5,263.352355957031,0.950472295284271,0,8.29398632049561e-05,5.75506830215454,1.68135833740234,1.68447875976562,22.4765625
"10","2019-03-05 06:00:00",261.74,261.75,-1.7,3.6,2.3,261.730560302734,0.948794603347778,0,5.81145286560059e-06,7.06526899337769,1.26765060424805,1.26895904541016,22.3828125
"11","2019-03-05 12:00:00",258.41,261.2,-37.5,-7.4,3.2,258.408935546875,0.911456048488617,0,5.43892383575439e-06,6.35329627990723,0.309356689453125,0.310356140136719,9.99999897748375e-16
"12","2019-03-05 18:00:00",262.19,264.08,-29,-8.7,-2.1,262.185546875,0.956667542457581,0,2.80439853668213e-05,7.16806268692017,1.12629318237305,1.12698364257812,0
"13","2019-03-06",261.34,263.93,-30.4,-9.9,2.8,261.337829589844,0.955598294734955,0,9.41753387451172e-06,5.56908798217773,0.762702941894531,0.763278961181641,32.0546875
"14","2019-03-06 06:00:00",263.33,263.79,-7.8,3.1,-1.8,263.324249267578,0.925435662269592,0,0,6.81366491317749,0.23664665222168,0.237129211425781,24.890625
"15","2019-03-06 12:00:00",263.14,263.82,-16.4,-2.7,8.7,263.133422851562,0.968021273612976,0,4.26769256591797e-05,10.2889556884766,0.397697448730469,0.398902893066406,9.99999897748375e-16
