"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall.Amount.Acc..Height...0.","Precipitation Amount Acc (Height = 0)"
"1","1998-06-03",273.88,272.66,15.6,17,102,273.882568359375,0.987995088100433,0,3.87430191040039e-07,6.07064199447632,0.0990390777587891,0.113880157470703
"2","1998-06-03 06:00:00",273.36,272.47,8.9,8.8,30.1,273.365478515625,0.999744713306427,0,0.000159665942192078,5.30216026306152,1.49570083618164,1.50872039794922
"3","1998-06-03 12:00:00",270.82,271.61,-3.2,-2.3,-4.9,270.817138671875,1.00000524520874,1.19209289550781e-07,0.000102944672107697,1.84579420089722,6.09391403198242,6.09801864624023
"4","1998-06-03 18:00:00",268.38,270.01,-24.7,-14.8,-6.7,268.37255859375,0.990652203559875,0,2.49743461608887e-05,7.17826318740845,2.93535041809082,3.03032684326172
"5","1998-06-04",271.65,270.97,8.2,14.3,5.7,271.646728515625,0.955540835857391,0,1.02221965789795e-05,7.13618993759155,0.750478744506836,0.75640869140625
"6","1998-06-04 06:00:00",270.3,269.77,6.7,13,-12.2,270.295166015625,0.953845262527466,0,4.99188899993896e-06,7.93824148178101,0.574344635009766,0.576225280761719
"7","1998-06-04 12:00:00",263.37,266.24,-33.4,-14,-28.9,263.3603515625,0.970647096633911,0,6.46710395812988e-06,5.52340126037598,0.165657043457031,0.165657043457031
"8","1998-06-04 18:00:00",262.5,265.56,-15,-6.4,-11.8,262.490966796875,0.981708884239197,0,4.98145818710327e-05,2.33325910568237,0.425025939941406,0.427322387695312
"9","1998-06-05",269.58,268.5,9.8,13.8,2.1,269.572509765625,0.925540804862976,0,8.94069671630859e-08,4.80285310745239,0.736545562744141,0.739253997802734
"10","1998-06-05 06:00:00",270.41,270.06,2,6.9,-2.6,270.405029296875,0.940111875534058,0,0,4.10647439956665,0.518348693847656,0.521976470947266
"11","1998-06-05 12:00:00",262.46,267.83,-28.6,-13.8,-16.7,262.455078125,0.982519149780273,0,2.98023223876953e-08,2.58608174324036,0.0766677856445312,0.0766677856445312
"12","1998-06-05 18:00:00",262.91,272.19,-54,-6.7,7.1,262.904388427734,0.595127701759338,0,0,2.89513850212097,0.00051116943359375,0.00051116943359375
"13","1998-06-06",271.91,271.93,-0.8,16.4,18.8,271.90673828125,0.774081170558929,0,0,3.30883431434631,0.00138092041015625,0.00302505493164062
"14","1998-06-06 06:00:00",273.44,274.63,-10.2,0.4,45.2,273.440185546875,0.916582226753235,0,0,4.18370914459229,0,0
"15","1998-06-06 12:00:00",271.75,274.42,-13.6,-7.9,-1.9,271.744201660156,0.943043053150177,4.86373901367188e-05,0,2.48106288909912,0,0.0688400268554688
"16","1998-06-06 18:00:00",267.89,272.05,-20.2,-12.8,-2.1,267.882202148438,0.971669554710388,1.95503234863281e-05,0,2.39624738693237,0.00096893310546875,0.0129318237304688
"17","1998-06-07",273.53,273.68,-2,-1.4,56.4,273.539794921875,1.00000262260437,1.00135803222656e-05,0,6.01997041702271,0.316555023193359,3.25307846069336
"18","1998-06-07 06:00:00",273.82,274.62,-4.1,-3.8,90.9,273.822509765625,1.00000262260437,9.5367431640625e-07,0,2.74364376068115,0.0037078857421875,1.14817810058594
"19","1998-06-07 12:00:00",273.24,274.46,-8.4,-7.8,14.2,273.2451171875,1.00000476837158,9.5367431640625e-07,0,3.29668998718262,0,0.04248046875
"20","1998-06-07 18:00:00",273.43,275.42,-14,-13.8,38.8,273.439514160156,1.00000560283661,0.000123977661132812,0,3.55857181549072,0,0.978141784667969
