"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall.Amount.Acc..Height...0.","Precipitation.Amount.Acc..Height...0.","Surface Downwelling Shortwave Flux In Air (Height = 0)"
"1","2020-02-25",256.18,258.68,-44.2,5,5.2,256.174865722656,0.739368438720703,0,0,8.24268913269043,0.00109100341796875,0.00109100341796875,27.8515625
"2","2020-02-25 06:00:00",257.63,259.8,-29.3,4.5,-7.3,257.63330078125,0.757556915283203,0,0,6.29334831237793,0.00064849853515625,0.00064849853515625,19.0859375
"3","2020-02-25 12:00:00",255.13,258.78,-40.6,-4.6,-7.7,255.126235961914,0.839466094970703,0,0,5.26205635070801,0.00031280517578125,0.00031280517578125,9.99999897748375e-16
"4","2020-02-25 18:00:00",253.08,258.13,-53.5,-6.2,-7.9,253.083312988281,0.805255234241486,0,0,5.05067205429077,0.000659942626953125,0.000659942626953125,9.99999897748375e-16
"5","2020-02-26",253.39,258.47,-43,2.9,-1,253.391342163086,0.563220739364624,0,0,4.0363507270813,0.00345611572265625,0.00345611572265625,33.984375
"6","2020-02-26 06:00:00",253.43,259.79,-34.5,2.6,-7.2,253.427108764648,0.475679278373718,0,0,2.60668253898621,0.000461578369140625,0.000461578369140625,23.484375
"7","2020-02-26 12:00:00",250.34,256.13,-40.9,1,-12.7,250.340881347656,0.562808096408844,0,0,3.34737777709961,0,0,9.99999897748375e-16
"8","2020-02-26 18:00:00",250.7,254.87,-32.4,-0.9,-18.7,250.70100402832,0.737322509288788,0,0,3.6505024433136,0,0,9.99999897748375e-16
"9","2020-02-27",256.45,257.62,-11.2,-0.1,5,256.448974609375,0.909762799739838,0,5.02169132232666e-06,4.22747707366943,0.0236473083496094,0.0236473083496094,24.96875
"10","2020-02-27 06:00:00",259.19,259.96,-6.7,0.1,1.8,259.193756103516,0.934497475624084,0,1.73002481460571e-05,3.74694466590881,0.867168426513672,0.867671966552734,18.59375
"11","2020-02-27 12:00:00",259.03,262.33,-33.7,-3,32.4,259.028594970703,0.820561468601227,0,1.94311141967773e-05,4.87716436386108,0.371776580810547,0.373073577880859,9.99999897748375e-16
"12","2020-02-27 18:00:00",259.4,260.7,-16.1,-2.4,12.3,259.401000976562,0.942554295063019,1.19209289550781e-07,6.99609518051147e-05,5.62020301818848,1.17586517333984,1.17708587646484,0
"13","2020-02-28",262.25,262.53,-4,1.1,16.1,262.251586914062,0.957950353622437,2.38418579101562e-07,1.76429748535156e-05,5.19594669342041,2.34934234619141,2.352294921875,23.640625
"14","2020-02-28 06:00:00",262.68,262.87,-4.2,2,7.6,262.683532714844,0.95952296257019,0,0.000304520130157471,6.96671438217163,3.72797393798828,3.73159790039062,8.296875
"15","2020-02-28 12:00:00",257.27,260.77,-22.4,-5.9,5.9,257.26611328125,0.947604417800903,0,1.01327896118164e-06,3.02975153923035,2.27558898925781,2.27817916870117,9.99999897748375e-16
"16","2020-02-28 18:00:00",256.14,261.23,-40.4,1.6,1,256.14404296875,0.615161180496216,0,0,3.82023739814758,0.236335754394531,0.237083435058594,0
