"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall.Amount.Acc..Height...0.","Precipitation.Amount.Acc..Height...0.","Surface Downwelling Shortwave Flux In Air (Height = 0)"
"1","2018-04-25",271.89,270.39,14.9,15.1,8.7,271.886322021484,0.971194982528687,4.76837158203125e-07,4.23043966293335e-05,4.94029855728149,2.36700820922852,2.383544921875,72.0262832641602
"2","2018-04-25 06:00:00",272.09,270.85,13.9,12.6,-12.9,272.087982177734,0.992787182331085,0,1.69277191162109e-05,5.75666522979736,3.8036003112793,3.81523513793945,63.5339126586914
"3","2018-04-25 12:00:00",270.36,270.61,-2.5,1.6,-2.9,270.359069824219,0.958194494247437,0,0.000268980860710144,3.53959846496582,5.23835372924805,5.24045562744141,0
"4","2018-04-25 18:00:00",269.65,269.41,0.4,0.6,-6.7,269.645080566406,0.995199084281921,1.19209289550781e-07,0.000260353088378906,1.54642415046692,6.06572723388672,6.07529067993164,0
"5","2018-04-26",272.12,270.35,10,8,4.5,272.11181640625,1.00000381469727,4.76837158203125e-07,0.000302016735076904,2.58363223075867,2.71211624145508,2.72206878662109,34.342342376709
"6","2018-04-26 06:00:00",272.93,273.21,-1.4,3,15.4,272.927368164062,0.909213840961456,0,8.98092985153198e-05,1.82772660255432,8.01509475708008,8.08432769775391,24.6341991424561
"7","2018-04-26 12:00:00",270.59,272.21,-10.2,0.6,-0.8,270.586730957031,0.876576840877533,0,0.000241756439208984,2.90496563911438,11.7934455871582,11.8256683349609,0
"8","2018-04-26 18:00:00",268.89,273.09,-32.5,0,8.6,268.887451171875,0.732137441635132,0,0,3.71800303459167,4.74036407470703,4.76674652099609,0
"9","2018-04-27",272.84,272.77,-0.2,10.8,19.1,272.834320068359,0.830036103725433,2.62260437011719e-06,0.000220507383346558,2.63791441917419,6.19394683837891,6.20659637451172,45.3302726745605
"10","2018-04-27 06:00:00",272.09,272.1,-0.5,3.6,-11.2,272.085998535156,0.926639080047607,0,0,2.28428483009338,9.47996520996094,9.49027633666992,76.182487487793
"11","2018-04-27 12:00:00",270.57,271.79,-3.8,0,2.6,270.565063476562,0.910025179386139,0,0.000297144055366516,1.39778912067413,10.4288482666016,10.4383010864258,0
"12","2018-04-27 18:00:00",269.01,268.32,5.5,4.6,-17.1,269.0078125,0.992925643920898,7.15255737304688e-07,1.63912773132324e-07,4.37753438949585,6.0606689453125,6.07999420166016,0
"13","2018-04-28",271.3,271.48,-3.7,10.9,3.8,271.294555664062,0.905003309249878,0,5.57303428649902e-06,6.29365205764771,3.56319427490234,3.57904815673828,90.067512512207
"14","2018-04-28 06:00:00",271.72,270.97,8.9,8.2,-9.1,271.717590332031,0.997149348258972,1.19209289550781e-07,2.82973051071167e-05,6.56905364990234,2.53858184814453,2.54930114746094,74.775764465332
"15","2018-04-28 12:00:00",266.11,268.18,-21.7,-5.7,-31.4,266.1044921875,0.922842085361481,0,0,4.77810096740723,0.345539093017578,0.346683502197266,0
"16","2018-04-28 18:00:00",268.02,269.61,-20.2,-1.2,-6.4,268.015869140625,0.897434592247009,0,0,5.75874519348145,0.00530624389648438,0.00589752197265625,0
"17","2018-04-29",271.07,270.21,9.9,16.6,-2.1,271.061584472656,0.933949589729309,0,9.23871994018555e-07,6.31214332580566,0.112239837646484,0.114788055419922,69.3442916870117
"18","2018-04-29 06:00:00",271.71,271.48,1.6,27.2,-8.2,271.703369140625,0.824680149555206,0,0,6.56668376922607,0.383506774902344,0.384536743164062,63.1898918151855
"19","2018-04-29 12:00:00",268.95,272.28,-28.4,5.7,14.8,268.940979003906,0.715992271900177,0,0,4.01357221603394,0.0064544677734375,0.0064544677734375,0
"20","2018-04-29 18:00:00",263.88,269.47,-31.2,-6.1,8,263.876525878906,0.77617335319519,0,0,2.64555716514587,0,0,0
"21","2018-04-30",270.73,272.72,-21,15.8,14.6,270.724060058594,0.724155426025391,0,0,4.87223625183105,0.00043487548828125,0.00043487548828125,99.019172668457
"22","2018-04-30 06:00:00",272.04,273.92,-24.7,19.5,-0.2,272.032745361328,0.743624448776245,0,0,6.07424879074097,0,0,82.5682525634766
"23","2018-04-30 12:00:00",269.69,272.52,-56.8,10.8,3.3,269.688049316406,0.760748028755188,0,0,9.4724817276001,0,0,0
"24","2018-04-30 18:00:00",269.71,271.16,-32.4,10.8,-3.7,269.701477050781,0.845402359962463,0,0,10.1087703704834,0,0,0
"25","2018-05-01",271.71,271.1,13,25.2,6.8,271.704833984375,0.949849128723145,0,0,12.544319152832,0.00284767150878906,0.00284767150878906,75.6798553466797
"26","2018-05-01 06:00:00",272.34,271.54,9.3,8.6,-0.7,272.33642578125,0.999378442764282,2.38418579101562e-07,9.47564840316772e-05,6.4842848777771,0.935049057006836,0.935478210449219,29.3992786407471
