"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind Speed (Height = 10)"
"1","2019-04-26",273.7,274.41,-6.3,-5.8,67.5,273.700042724609,1.0000034570694,6.91413879394531e-06,0,4.42777585983276
"2","2019-04-26 06:00:00",273.84,276.06,-21.9,-18.5,85.6,273.848083496094,0.984240829944611,2.93254852294922e-05,0,5.04370975494385
"3","2019-04-26 12:00:00",273.48,274.8,-19.5,-18.3,43.8,273.486145019531,1.00000357627869,0.000280141830444336,0,7.207350730896
"4","2019-04-26 18:00:00",273.72,275.57,-33.4,-32.9,72.4,273.726654052734,1.00000476837158,1.04904174804688e-05,0,9.16272640228271
"5","2019-04-27",273.67,275.16,-25.5,-24.6,66.3,273.676147460938,1.00000333786011,0.000356316566467285,0,8.60064888000488
"6","2019-04-27 06:00:00",273.48,274.87,-14.8,-14,41.4,273.481597900391,1.00000369548798,0.00153231620788574,0,5.20833158493042
"7","2019-04-27 12:00:00",273.37,275.06,-12.6,-12,30.2,273.378173828125,1.00000405311584,0.000218033790588379,0,3.65730500221252
"8","2019-04-27 18:00:00",273.56,275.14,-23.8,-22.7,53,273.566619873047,1.00000500679016,0.000535309314727783,0,7.44722461700439
"9","2019-04-28",273.49,274.18,-10.7,-9.6,43.9,273.492492675781,1.0000034570694,6.85453414916992e-06,0,7.28271818161011
"10","2019-04-28 06:00:00",274.3,276.08,-23.8,-11.7,136.8,274.308227539062,0.948795318603516,0,0,7.12887001037598
"11","2019-04-28 12:00:00",272.22,275.24,-45.2,-18.6,-4.3,272.218078613281,0.894826114177704,0,0,7.17400503158569
"12","2019-04-28 18:00:00",270.2,275.15,-37.6,-11,-11,270.195983886719,0.802540421485901,0,0,3.69116020202637
"13","2019-04-29",274.44,277.87,-6.4,4.3,146.1,274.439758300781,0.661593914031982,0,0,0.362008303403854
"14","2019-04-29 06:00:00",274.42,278.25,-44.1,9.4,143.9,274.421936035156,0.726885139942169,0,0,5.94568538665771
"15","2019-04-29 12:00:00",273.35,278.53,-57.1,-2.6,25.5,273.351318359375,0.706394076347351,0,0,5.47226619720459
"16","2019-04-29 18:00:00",272.95,278.7,-31.9,-3.2,7.3,272.949584960938,0.695605576038361,0,0,2.7426450252533
"17","2019-04-30",274.53,278.3,-27.2,10.8,157.6,274.531463623047,0.693468272686005,0,0,3.75831723213196
"18","2019-04-30 06:00:00",274.52,277.71,-31.6,-2.3,156.4,274.527313232422,0.823946297168732,0,0,5.23191404342651
"19","2019-04-30 12:00:00",272.79,275.98,-51.1,-18.8,-5.9,272.785125732422,0.875308811664581,0,0,7.75523328781128
"20","2019-04-30 18:00:00",270.82,273.01,-41.9,-23.2,-9.8,270.815795898438,0.95673143863678,0,0,9.06817531585693
"21","2019-05-01",274.15,273.52,16.8,17.1,123.6,274.150207519531,1.00000286102295,1.78813934326172e-07,0,11.7873811721802
"22","2019-05-01 06:00:00",273.59,273.13,11.1,12.1,59.1,273.5908203125,0.999926567077637,1.19209289550781e-07,3.14414501190186e-06,12.1411514282227
"23","2019-05-01 12:00:00",271.38,271.22,1.2,3,-8.9,271.372833251953,0.999578058719635,4.41074371337891e-06,0.000149115920066833,12.8537082672119
"24","2019-05-01 18:00:00",268.32,268.12,2.4,6.8,-15.6,268.319396972656,0.982930958271027,2.02655792236328e-06,0.000143766403198242,12.8269834518433
"25","2019-05-02",268.59,266.97,36.1,37.1,0.4,268.582275390625,0.929308831691742,1.07288360595703e-06,0.000135675072669983,11.5263195037842
"26","2019-05-02 06:00:00",267.08,266.31,16.8,27.8,-18.5,267.076782226562,0.9108766913414,0,8.65757465362549e-06,12.3439483642578
"27","2019-05-02 12:00:00",260.77,262.87,-46.4,-13.5,-23.7,260.763671875,0.959019422531128,0,2.89082527160645e-06,10.1481170654297
"28","2019-05-02 18:00:00",259.73,261.91,-35.9,-9.7,-20.4,259.720245361328,0.956591844558716,5.96046447753906e-08,4.97698783874512e-06,7.54280757904053
"29","2019-05-03",266.01,264.39,18.3,18.8,5.7,266.005187988281,0.888369739055634,1.19209289550781e-07,2.24113464355469e-05,5.60730934143066
"30","2019-05-03 06:00:00",266.18,266.19,-2.7,19.1,-8,266.170806884766,0.877185523509979,0,0,10.6826686859131
"31","2019-05-03 12:00:00",260.05,262.38,-52.8,-8.1,-21.9,260.042236328125,0.897495865821838,0,0,10.4062232971191
"32","2019-05-03 18:00:00",258.31,261.08,-53.8,-2.2,-15.1,258.305786132812,0.821305453777313,0,0,8.938157081604
"33","2019-05-04",267.04,266.2,14.7,22.3,17.7,267.03759765625,0.912601053714752,0,9.68575477600098e-07,9.71234226226807
"34","2019-05-04 06:00:00",267.27,267.33,-3.5,12.3,-3.8,267.269073486328,0.919604182243347,0,0,10.2589416503906
"35","2019-05-04 12:00:00",261.82,264.28,-49.1,-17.3,-8.4,261.811492919922,0.967687606811523,0,2.08616256713867e-06,9.19597148895264
"36","2019-05-04 18:00:00",261,262.56,-36,-8.8,-18.7,260.997039794922,0.957066178321838,0,9.5367431640625e-07,10.3909168243408
"37","2019-05-05",267.97,266.9,21.6,17.1,6.4,267.968048095703,0.983706295490265,1.19209289550781e-07,0.00017055869102478,10.7525491714478
"38","2019-05-05 06:00:00",268.69,267.98,12.2,14,3.5,268.680480957031,0.971575736999512,2.86102294921875e-06,0.000342249870300293,9.96294116973877
"39","2019-05-05 12:00:00",264.37,265.09,-10.3,-0.4,-13.5,264.366149902344,0.949880540370941,0,5.61326742172241e-05,6.07122230529785
"40","2019-05-05 18:00:00",263.47,264.27,-14.2,0.3,-2.2,263.468200683594,0.934741497039795,0,3.44365835189819e-05,7.57586145401001
"41","2019-05-06",266.8,266.08,11.4,19.6,9.2,266.79833984375,0.907810509204865,0,0,8.84457874298096
"42","2019-05-06 06:00:00",265.87,266.55,-9.8,13,-8.5,265.860595703125,0.805148720741272,0,0,6.0034556388855
"43","2019-05-06 12:00:00",260.2,263.19,-55.8,-8.4,-15.7,260.195434570312,0.867556154727936,0,0,8.65140533447266
"44","2019-05-06 18:00:00",258.93,262.38,-51.6,-9,-17.4,258.920166015625,0.871463775634766,0,0,6.96474695205688
"45","2019-05-07",264.11,264.27,-3.4,5.9,16.3,264.1083984375,0.913409292697906,0,0,6.25523233413696
"46","2019-05-07 06:00:00",267.42,266.17,18.4,16.2,3,267.418273925781,0.959963619709015,0,5.21540641784668e-05,7.58957052230835
"47","2019-05-07 12:00:00",261.88,263.96,-25.4,-8.9,-17.1,261.879272460938,0.972661793231964,1.19209289550781e-07,7.91251659393311e-06,5.62321758270264
"48","2019-05-07 18:00:00",258.33,262.21,-45.5,-9.6,-21.6,258.326477050781,0.888325273990631,0,0,5.49304533004761
"49","2019-05-08",264.85,264.75,0,3,13.9,264.848815917969,0.877048134803772,0,0,1.74677681922913
"50","2019-05-08 06:00:00",267.03,267.54,-2,5.5,-7.3,267.023071289062,0.757830917835236,0,0,1.65812611579895
"51","2019-05-08 12:00:00",267.04,267.62,-7.9,-3.3,14,267.038299560547,0.991825819015503,8.34465026855469e-07,6.75469636917114e-05,5.68074607849121
"52","2019-05-08 18:00:00",263.81,265.11,-17,-4.3,14.9,263.808807373047,0.955678224563599,0,2.41845846176147e-05,5.89837026596069
"53","2019-05-09",270.03,269.49,10.4,10,9.5,270.022094726562,0.995807588100433,1.19209289550781e-07,0.000318899750709534,11.9118146896362
"54","2019-05-09 06:00:00",271.42,270.69,10,9,6.3,271.417236328125,0.999759912490845,4.76837158203125e-07,0.000292122364044189,7.88739919662476
"55","2019-05-09 12:00:00",270.27,270.73,-5.6,-3.4,4.6,270.263244628906,0.999318778514862,1.19209289550781e-07,0.000308692455291748,4.9312539100647
"56","2019-05-09 18:00:00",270.85,271.09,-3.4,-2.1,6.2,270.840972900391,1.00000476837158,3.57627868652344e-07,0.000266775488853455,4.89569711685181
"57","2019-05-10",272.25,271.44,7.1,6.6,7.2,272.2421875,0.99957662820816,1.19209289550781e-07,0.000406891107559204,4.95813751220703
"58","2019-05-10 06:00:00",272.19,271.27,11.1,13.6,2.3,272.18896484375,0.976168930530548,0,7.50422477722168e-05,6.70141983032227
"59","2019-05-10 12:00:00",268.76,268.69,-0.6,1.2,-8.7,268.751708984375,0.995745718479156,7.15255737304688e-07,3.29315662384033e-05,8.50722026824951
"60","2019-05-10 18:00:00",266.86,267.21,-10.3,-3,-6.9,266.850311279297,0.989216446876526,2.38418579101562e-07,2.22325325012207e-05,10.8474369049072
"61","2019-05-11",268.8,268.56,3,14.9,1.9,268.796905517578,0.943041920661926,0,7.61449337005615e-06,11.3812265396118
"62","2019-05-11 06:00:00",270.7,270.03,12.1,20.9,-3.3,270.6962890625,0.948794364929199,0,0.000158026814460754,10.4254770278931
"63","2019-05-11 12:00:00",265.99,267.19,-27.1,-9.4,-14.4,265.988342285156,0.969623148441315,0,1.10268592834473e-06,10.0551786422729
"64","2019-05-11 18:00:00",262.86,265.5,-61.5,-11.4,-14.7,262.855163574219,0.887318551540375,0,0,10.7518529891968
"65","2019-05-12",265.78,266.16,-11.7,22.9,3.9,265.773681640625,0.8361696600914,0,0,11.5580186843872
"66","2019-05-12 06:00:00",267.99,268.5,-13.1,18.8,-4,267.985107421875,0.856569468975067,0,0,10.273175239563
"67","2019-05-12 12:00:00",267.56,267.67,-5.8,0,-9.3,267.552490234375,0.990208148956299,1.19209289550781e-07,1.43647193908691e-05,13.0265464782715
"68","2019-05-12 18:00:00",261.3,263.96,-55.5,-11.1,-13.6,261.294128417969,0.901540279388428,0,0,9.48565673828125
"69","2019-05-13",267.51,267.42,-0.2,10.4,10.6,267.507568359375,0.898699700832367,0,0,5.98921823501587
"70","2019-05-13 06:00:00",270.08,270.54,-4,9.7,0,270.075256347656,0.828249275684357,0,0,3.49353289604187
"71","2019-05-13 12:00:00",264.39,269.99,-40.1,-1.6,1,264.385559082031,0.675706923007965,0,0,3.40245223045349
"72","2019-05-13 18:00:00",268.13,270.78,-40.5,-0.6,0.9,268.123291015625,0.823185086250305,0,0,7.12205362319946
"73","2019-05-14",272.67,273.4,-10,35.7,17.5,272.662841796875,0.697192192077637,0,0,5.78093910217285
"74","2019-05-14 06:00:00",273.67,274.14,-6.6,9.2,19.4,273.674560546875,0.906008005142212,0,0,5.83027315139771
"75","2019-05-14 12:00:00",267.62,272.49,-46.9,-10.4,-7.1,267.619201660156,0.792316138744354,0,0,4.62599563598633
"76","2019-05-14 18:00:00",264.77,272.45,-30.4,-8.9,-20.3,264.76416015625,0.760273039340973,0,0,1.917475938797
"77","2019-05-15",273.76,273.68,0,8.4,32.7,273.7626953125,0.864794194698334,0,0,2.31037855148315
"78","2019-05-15 06:00:00",273.76,275.83,-4.1,1.4,42.8,273.76708984375,0.81437885761261,0,0,0.924345433712006
