"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall.Amount.Acc..Height...0.","Precipitation.Amount.Acc..Height...0.","Surface Downwelling Shortwave Flux In Air (Height = 0)"
"1","2014-04-27",273.97,276.34,-14.8,13.4,114.5,273.9775390625,0.715487122535706,0,0,3.246009349823,0.000398635864257812,0.000776290893554688,194.019866943359
"2","2014-04-27 06:00:00",273.83,277.51,-9,5.4,90.8,273.832611083984,0.64203017950058,0,0,1.26163041591644,0,0,177.627395629883
"3","2014-04-27 12:00:00",267.23,274.79,-33.2,-14.6,-15.5,267.229461669922,0.818316757678986,0,0,2.18461561203003,0,0,0
"4","2014-04-27 18:00:00",262.51,273.17,-23.6,-9.5,-17.5,262.503295898438,0.801380276679993,0,0,1.10292434692383,0,0,0
"5","2014-04-28",273.98,275.44,-4,8.1,119.6,273.980651855469,0.710970163345337,0,0,1.45270299911499,0,0,196.226089477539
"6","2014-04-28 06:00:00",273.87,276,-9.5,5.6,99,273.870910644531,0.782732009887695,0,0,2.30240893363953,0,0,182.345611572266
"7","2014-04-28 12:00:00",265.01,272.64,-18.9,-8,-20.1,265.009246826172,0.844409883022308,0,0,1.23028838634491,0,0,0
"8","2014-04-28 18:00:00",265.77,270.45,-22.1,-12.6,-10.3,265.769012451172,0.976506114006042,0,0,2.29687976837158,0,0,0
"9","2014-04-29",273.41,272,10.5,9.3,39.6,273.414459228516,1.0000022649765,4.35113906860352e-06,1.55717134475708e-05,3.54924774169922,2.62847328186035,2.6895580291748,66.9086761474609
"10","2014-04-29 06:00:00",273.64,273.13,2.3,3.5,67.9,273.647766113281,0.980364501476288,0,0,2.09720277786255,1.12894821166992,1.20999526977539,132.537719726562
"11","2014-04-29 12:00:00",262.61,270.1,-31,-15.6,-14.1,262.6083984375,0.955554187297821,0,0,2.03976130485535,0.909572601318359,0.912265777587891,0
"12","2014-04-29 18:00:00",260.02,268.92,-17.7,-7.9,-20.3,260.010681152344,0.951297044754028,0,0,0.319255113601685,0.0762691497802734,0.0790328979492188,0
"13","2014-04-30",272.16,269.29,40.7,42.2,4.4,272.153869628906,0.923663318157196,1.19209289550781e-07,1.63912773132324e-07,6.91691064834595,0.20384407043457,0.229751586914062,134.553436279297
"14","2014-04-30 06:00:00",268.53,267.64,15.1,43.1,-21.3,268.527099609375,0.792360782623291,0,1.49011611938477e-08,9.35747051239014,0.171022415161133,0.186973571777344,134.508331298828
"15","2014-04-30 12:00:00",260.03,262.85,-64,1.6,-26.7,260.021942138672,0.78288745880127,0,0,10.5568017959595,1.10770606994629,1.10921478271484,0
"16","2014-04-30 18:00:00",258.36,262.67,-81.3,16.3,-19.8,258.3505859375,0.541764378547668,0,0,8.85470104217529,0,0,0
"17","2014-05-01",266.59,266.6,-1,28.2,19.2,266.583251953125,0.56756716966629,0,0,4.29127645492554,0,0,152.076751708984
"18","2014-05-01 06:00:00",269.55,269.03,2.2,20.1,-4,269.543334960938,0.631425619125366,0,0,2.51366329193115,0,0,123.816352844238
"19","2014-05-01 12:00:00",260.68,265.36,-53.2,-6,-16.3,260.670379638672,0.770233929157257,0,0,5.39580965042114,0,0,0
"20","2014-05-01 18:00:00",255.59,264.57,-18.3,-1.2,-41.6,255.589233398438,0.582569181919098,0,0,0.93594229221344,0,0,0
"21","2014-05-02",269.65,268.64,2.4,12.5,37.8,269.64111328125,0.544894635677338,0,0,0.614322900772095,0,0,160.134460449219
"22","2014-05-02 06:00:00",270.77,270.03,6.1,32.6,3.9,270.767517089844,0.703478753566742,0,0,4.55613136291504,0.000438690185546875,0.000438690185546875,90.6845397949219
"23","2014-05-02 12:00:00",260.1,265.99,-30.9,-8,-20.9,260.098266601562,0.847508728504181,0,0,2.50968408584595,0,0,0
"24","2014-05-02 18:00:00",256.6,265,-34,-6.7,-15.9,256.598876953125,0.764636814594269,0,0,1.94188451766968,0,0,0
"25","2014-05-03",268.68,266.7,29.6,20.5,14.8,268.670013427734,0.986697196960449,1.01327896118164e-06,5.62667846679688e-05,7.39498996734619,1.32211685180664,1.32833099365234,76.8063507080078
"26","2014-05-03 06:00:00",268.11,267.38,13.3,15.8,-3,268.101318359375,0.961871266365051,1.78813934326172e-07,1.20699405670166e-06,10.3924350738525,2.98807907104492,3.03801345825195,76.7746887207031
"27","2014-05-03 12:00:00",264.71,265.19,-4,-0.7,-19.2,264.704162597656,0.97740638256073,1.19209289550781e-07,5.39422035217285e-06,3.30558061599731,1.71420669555664,1.73539733886719,0
"28","2014-05-03 18:00:00",257.78,264.47,-45.3,-8.3,-16.5,257.775634765625,0.783785879611969,0,0,3.22902512550354,0.241472244262695,0.245059967041016,0
