"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall Amount Acc (Height = 0)"
"1","2019-04-26",274.38,275.21,-19,11.2,163.1,274.387542724609,0.928470253944397,0,0,13.7679452896118,0
"2","2019-04-26 06:00:00",274.47,276.77,-42.9,-6,171.5,274.478942871094,0.883593857288361,0,0,10.1828622817993,0.000457763671875
"3","2019-04-26 12:00:00",273.67,275.7,-45,-41.2,66.5,273.671691894531,0.998187839984894,0,0,11.1693239212036,0
"4","2019-04-26 18:00:00",274,275.97,-58.9,-58.8,111.2,274.002044677734,1.00000476837158,9.5367431640625e-07,0,15.6386289596558,0
"5","2019-04-27",274.52,275.72,-33.7,-33.9,180.4,274.527709960938,1.00000333786011,4.64916229248047e-06,0,16.4918918609619,0
"6","2019-04-27 06:00:00",274.64,275.81,-33.1,-32.7,194,274.645660400391,1.00000369548798,7.15255737304688e-07,0,17.0913505554199,0
"7","2019-04-27 12:00:00",273.97,276.32,-54.2,-52.4,105.8,273.979736328125,1.00000405311584,0.000253617763519287,0,11.979341506958,0
"8","2019-04-27 18:00:00",273.77,275.12,-37.8,-36.2,79.1,273.775604248047,1.00000500679016,4.05311584472656e-06,0,14.2231378555298,0
"9","2019-04-28",274.29,275.47,-31.8,-11.5,149,274.293273925781,0.959750771522522,8.34465026855469e-07,0,15.007737159729,0
"10","2019-04-28 06:00:00",274.87,277.8,-64.7,-13.8,222.7,274.877563476562,0.865940093994141,0,0,12.1569118499756,0.00063323974609375
"11","2019-04-28 12:00:00",273.59,277.21,-75.8,-17.9,55.3,273.591125488281,0.829762637615204,0,0,10.4694051742554,0
"12","2019-04-28 18:00:00",272.97,277.36,-47.9,0.5,-5.1,272.961608886719,0.725193619728088,0,0,5.33540344238281,0
"13","2019-04-29",274.64,278.59,-28.2,10.8,199.1,274.648742675781,0.689792156219482,0,0,3.80045819282532,0
"14","2019-04-29 06:00:00",274.54,279.45,-27.6,0.2,179.9,274.548889160156,0.718492805957794,0,0,2.95755672454834,0
"15","2019-04-29 12:00:00",273.27,278.85,-44.6,-4,12.7,273.272216796875,0.701007723808289,0,0,3.97819042205811,0
"16","2019-04-29 18:00:00",272.84,278.61,-43,-2.4,-5.4,272.832397460938,0.680194199085236,0,0,3.69351553916931,0
"17","2019-04-30",274.31,278.28,-16.4,7.1,154.6,274.312713623047,0.669176280498505,0,0,2.16428875923157,0
"18","2019-04-30 06:00:00",274.28,278.2,-9.4,-2.1,146.6,274.285125732422,0.818483650684357,0,0,1.25873136520386,0
"19","2019-04-30 12:00:00",273.25,275.33,-6.2,-5.9,12.5,273.258758544922,1.00000357627869,2.74181365966797e-06,0,1.45823049545288,0
"20","2019-04-30 18:00:00",273.2,273.58,-2.4,-2,6,273.209350585938,1.00000536441803,5.54323196411133e-06,0,2.58136630058289,0
"21","2019-05-01",274.05,272.73,13.2,12.1,119.2,274.058410644531,1.00000286102295,3.45706939697266e-06,3.87430191040039e-07,4.41995191574097,0.00228691101074219
"22","2019-05-01 06:00:00",273.33,272.72,10.9,10.1,21.2,273.33984375,1.00000286102295,1.00135803222656e-05,5.57899475097656e-05,9.82743644714355,0.449420928955078
"23","2019-05-01 12:00:00",270.64,270.34,4.5,4.9,-11,270.632598876953,1.00000524520874,1.66893005371094e-06,0.000304177403450012,11.9065227508545,3.77966690063477
"24","2019-05-01 18:00:00",267.89,267.49,6.7,7.2,-16.8,267.884826660156,0.990361988544464,3.814697265625e-06,0.000159963965415955,11.3322801589966,8.01178359985352
"25","2019-05-02",267.82,266.38,24.5,24.6,-7,267.816650390625,0.934298455715179,1.19209289550781e-07,4.29153442382812e-06,8.82929611206055,2.97420501708984
"26","2019-05-02 06:00:00",266.39,265.94,7.1,17.4,-24.5,266.382446289062,0.919253766536713,0,4.02331352233887e-07,10.385046005249,0.685174942016602
"27","2019-05-02 12:00:00",264.06,263.64,3.4,4.3,-13.2,264.0556640625,0.966252088546753,2.38418579101562e-07,2.92211771011353e-05,5.22362279891968,0.375885009765625
"28","2019-05-02 18:00:00",264.24,263.59,5.2,4.8,-13.9,264.236846923828,0.965747117996216,2.98023223876953e-07,0.000131502747535706,4.51505947113037,1.42050743103027
"29","2019-05-03",266.38,264.64,18.4,15.3,-1.9,266.378234863281,0.932238757610321,4.76837158203125e-07,0.000131651759147644,5.19492721557617,1.77273559570312
"30","2019-05-03 06:00:00",265.89,265.7,1.5,18.5,-13.3,265.882720947266,0.887042701244354,0,0,10.2935333251953,1.12445068359375
"31","2019-05-03 12:00:00",260.86,262.19,-35.4,0.5,-17,260.855712890625,0.893940567970276,0,0,11.9385032653809,0.0245819091796875
"32","2019-05-03 18:00:00",259.15,262.01,-55.4,-7.3,-13.6,259.140747070312,0.867158114910126,0,0,8.97092342376709,0
"33","2019-05-04",267.75,266.24,17.8,12.8,16.3,267.74951171875,0.982516825199127,3.57627868652344e-07,7.60704278945923e-05,5.95514011383057,0.579097747802734
