"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX (Averaged_Ground_Heat_Flux)"
"1","2022-05-09",270.74,270.38,6,20.2,9.8
"2","2022-05-09 06:00:00",272.57,272.84,-11.4,-2,7.6
"3","2022-05-09 12:00:00",269.64,271.18,-39.2,-16.4,-2.7
"4","2022-05-09 18:00:00",270.74,271.82,-25.5,-8,5.9
"5","2022-05-10",273.12,272.9,1.3,8.2,7.8
"6","2022-05-10 06:00:00",273.23,273.21,-1.4,3.5,13.2
"7","2022-05-10 12:00:00",271.55,273.4,-27.3,-6,8.1
"8","2022-05-10 18:00:00",271.21,271.75,-1.3,-0.9,0.4
"9","2022-05-11",273.29,272.28,12.5,12.5,21.8
"10","2022-05-11 06:00:00",273.21,272.42,8.5,7.6,8.8
"11","2022-05-11 12:00:00",266.96,270.87,-34.5,-13,-13.1
"12","2022-05-11 18:00:00",265.69,270.94,-40.7,-9.7,-1.6
"13","2022-05-12",272.53,272.57,-1.1,10.5,15.7
"14","2022-05-12 06:00:00",273.23,272.52,8.9,8.1,13.6
"15","2022-05-12 12:00:00",270.2,271.09,-15.2,-9.1,6
"16","2022-05-12 18:00:00",269.59,270.16,-10.6,-3,0.9
"17","2022-05-13",271.94,270.8,14.7,17.8,4.5
"18","2022-05-13 06:00:00",271.91,272.11,-5.5,8.1,-0.2
"19","2022-05-13 12:00:00",270.76,271.98,-21.9,-7,-4
"20","2022-05-13 18:00:00",270.17,270.97,-8.6,-2.2,-2.4
"21","2022-05-14",272.12,271,9.7,12.2,5.2
"22","2022-05-14 06:00:00",271.68,270.98,8.6,9.4,-6.5
"23","2022-05-14 12:00:00",268.3,269.97,-34.4,-15.7,-15.3
"24","2022-05-14 18:00:00",268.66,269.46,-19,-6.3,-12.2
"25","2022-05-15",271.23,270.82,8.1,11.6,0
"26","2022-05-15 06:00:00",271.7,270.9,14.6,12.3,1.7
"27","2022-05-15 12:00:00",267.9,267.61,4,5.1,-11
"28","2022-05-15 18:00:00",267.03,266.7,4.8,6,-7.4
"29","2022-05-16",268.05,266.8,23.4,16.8,-1.4
"30","2022-05-16 06:00:00",268.16,266.89,19.4,13.9,-8.2
"31","2022-05-16 12:00:00",266.39,266.03,2,2.5,-7.8
"32","2022-05-16 18:00:00",262.63,264.41,-12.1,-4.2,-12.6
"33","2022-05-17",268.99,267.67,16.1,20.3,5.7
"34","2022-05-17 06:00:00",268.68,268.18,8.9,11.5,0.7
"35","2022-05-17 12:00:00",268.81,268.92,-5.7,-0.6,2.7
