"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall.Amount.Acc..Height...0.","Precipitation.Amount.Acc..Height...0.","Surface Downwelling Shortwave Flux In Air (Height = 0)"
"1","2022-03-12",263.59,266.63,-112.7,46.5,35.6,263.588684082031,0.614993214607239,0,0,17.6360530853271,0.00067901611328125,0.00067901611328125,50.7203788757324
"2","2022-03-12 06:00:00",265.09,267.57,-96.6,44.5,4.3,265.089660644531,0.677630245685577,0,0,18.496955871582,0,0,39.84375
"3","2022-03-12 12:00:00",263.15,265.58,-87,15.6,2.5,263.148498535156,0.760103940963745,0,0,16.8432540893555,0,0,9.99999897748375e-16
"4","2022-03-12 18:00:00",262.27,266.23,-60.9,-9,-6,262.270202636719,0.815111458301544,0,0,7.3645224571228,0,0,0
"5","2022-03-13",266.12,268.07,-29.7,13.1,18.8,266.118927001953,0.752216041088104,0,0,7.14637422561646,0,0,23.1915473937988
"6","2022-03-13 06:00:00",266.31,268.42,-40.4,26.2,4.2,266.310424804688,0.681857347488403,0,0,9.00274181365967,0.00123405456542969,0.00123405456542969,17.0625
"7","2022-03-13 12:00:00",264.93,267.24,-46.9,28.2,0.2,264.931915283203,0.650546073913574,0,0,9.57354927062988,0,0,9.99999897748375e-16
"8","2022-03-13 18:00:00",260.12,266.24,-63.4,7.6,-8.6,260.120269775391,0.51280552148819,0,0,5.00238132476807,0,0,0
"9","2022-03-14",265.59,268.19,-40,27.6,16.2,265.585693359375,0.595447301864624,0,0,7.2704005241394,0,0,55.7505760192871
"10","2022-03-14 06:00:00",265.84,269.33,-31.8,12.1,-6.9,265.835723876953,0.614628076553345,0,0,4.37135553359985,0,0,44.6875
"11","2022-03-14 12:00:00",260.63,268.35,-45.4,-1.1,-12.2,260.625213623047,0.568423867225647,0,0,2.87351107597351,0,0,9.99999897748375e-16
"12","2022-03-14 18:00:00",259.2,267.01,-41.6,-2.5,-14.3,259.194885253906,0.599077820777893,0,0,2.59581851959229,0,0,0
"13","2022-03-15",263.09,267.7,-35.2,9.3,17,263.086791992188,0.545519769191742,0,0,3.68775057792664,0,0,62.0885925292969
"14","2022-03-15 06:00:00",265.44,267.56,-31.1,5.1,-3,265.439514160156,0.803560793399811,0,0,6.9034743309021,0,0,48.59375
