"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall.Amount.Acc..Height...0.","Precipitation.Amount.Acc..Height...0.","Surface Downwelling Shortwave Flux In Air (Height = 0)"
"1","2023-04-24",269.35,268.38,17.6,20.8,-3,269.349060058594,0.956927239894867,0,8.38935375213623e-05,10.0915613174438,5.46233940124512,5.48377990722656,67.8132171630859
"2","2023-04-24 06:00:00",269.39,268.31,17.2,18.1,-3.3,269.386596679688,0.965090870857239,0,7.36117362976074e-06,8.69422626495361,2.25091934204102,2.25204086303711,57.6707191467285
"3","2023-04-24 12:00:00",264.23,265.55,-21.4,-8,-18.5,264.234191894531,0.978244185447693,0,2.02655792236328e-06,7.38386249542236,0.842588424682617,0.843120574951172,0
"4","2023-04-24 18:00:00",265.38,265.95,-8.8,2.6,-1.7,265.376708984375,0.927524745464325,0,2.27689743041992e-05,6.32699394226074,0.134689331054688,0.135923385620117,0
"5","2023-04-25",265.6,265.83,-3.5,4,7.8,265.603210449219,0.927325904369354,0,0,5.13910484313965,0.202981948852539,0.206550598144531,94.4841461181641
"6","2023-04-25 06:00:00",268.63,266.45,25.6,18.1,-8.9,268.633239746094,0.982593297958374,1.19209289550781e-07,7.46399164199829e-05,5.74218034744263,1.28703117370605,1.30245590209961,64.0551681518555
"7","2023-04-25 12:00:00",263.96,264.64,-9.1,-1.8,-3.1,263.9580078125,0.971150457859039,0,0.000146374106407166,5.66781997680664,2.59695625305176,2.60101699829102,0
"8","2023-04-25 18:00:00",263.55,263.5,-0.6,2.3,-7.6,263.549133300781,0.965961813926697,1.19209289550781e-07,0.000173389911651611,5.22194337844849,4.19259452819824,4.20088958740234,0
"9","2023-04-26",265.85,263.8,29.6,18.9,-3,265.854675292969,0.96692305803299,2.38418579101562e-07,0.00019247829914093,7.05823659896851,6.19730567932129,6.20331382751465,57.0216064453125
"10","2023-04-26 06:00:00",266.08,264.77,18.1,13,-15.1,266.079833984375,0.973407864570618,2.38418579101562e-07,0.000428304076194763,7.16350412368774,6.91461563110352,6.93068695068359,24.2542362213135
"11","2023-04-26 12:00:00",264.08,263.95,0.4,3.7,-6.4,264.084716796875,0.968540906906128,1.19209289550781e-07,0.000406935811042786,7.1934061050415,7.63642692565918,7.66263961791992,0
"12","2023-04-26 18:00:00",264,265.07,-16.4,1.1,6.7,264.000335693359,0.906788647174835,0,0.000244200229644775,6.79530572891235,8.46836090087891,8.47266006469727,0
"13","2023-04-27",266.03,265.07,14.5,11.5,12.8,266.0341796875,0.974613428115845,5.96046447753906e-07,0.000148773193359375,8.15194797515869,8.7198486328125,8.72760009765625,46.2512397766113
"14","2023-04-27 06:00:00",267.74,266.7,10.9,11,10.2,267.7392578125,0.956653356552124,1.54972076416016e-06,0.000248506665229797,5.51000261306763,3.36096954345703,3.37927627563477,54.1516418457031
"15","2023-04-27 12:00:00",260.74,267.34,-29.4,-4.5,39.9,260.74169921875,0.725209474563599,0,2.08616256713867e-06,2.15718030929565,2.08317565917969,2.09452819824219,0
"16","2023-04-27 18:00:00",255.26,269.22,-56.9,-5,-3.9,255.264877319336,0.464999079704285,0,0,2.01361513137817,0.161705017089844,0.164924621582031,0
"17","2023-04-28",264.53,265.49,-12.8,18.9,8.6,264.530609130859,0.69794088602066,0,0,5.85745429992676,0.01141357421875,0.0118827819824219,97.4416885375977
"18","2023-04-28 06:00:00",267.7,267.27,4.3,19.6,-0.2,267.702880859375,0.845615744590759,0,1.49011611938477e-08,6.44728660583496,0.0010223388671875,0.0010223388671875,52.9397735595703
"19","2023-04-28 12:00:00",264.96,266.18,-21.4,-7.7,9.9,264.965026855469,0.974613547325134,0,9.00179147720337e-05,7.9455189704895,0.738449096679688,0.738449096679688,0
"20","2023-04-28 18:00:00",265.84,266.11,-9.6,-1.1,11.1,265.838500976562,0.983540713787079,2.38418579101562e-07,0.000128403306007385,12.2510757446289,2.95481109619141,2.95539474487305,0
"21","2023-04-29",265.99,265.06,17.7,14.1,3.2,265.987426757812,0.975254058837891,3.57627868652344e-07,0.000438451766967773,10.4232244491577,12.4804420471191,12.4949188232422,42.8391761779785
"22","2023-04-29 06:00:00",266.29,265.35,19.1,14.9,-2,266.29150390625,0.978260338306427,1.43051147460938e-06,2.63750553131104e-05,11.0640306472778,10.1478271484375,10.178674697876,43.6422920227051
"23","2023-04-29 12:00:00",264,263.86,0.6,5.6,-7.4,263.997406005859,0.968509078025818,9.5367431640625e-07,8.03172588348389e-05,10.9866180419922,2.85636520385742,2.89803314208984,0
"24","2023-04-29 18:00:00",263.82,263.82,-2.3,3.9,-2.7,263.821685791016,0.968356370925903,4.76837158203125e-07,0.000100314617156982,10.2779340744019,3.0609130859375,3.08638381958008,0
"25","2023-04-30",266.59,265.31,28.1,20.1,1.5,266.590454101562,0.977955222129822,1.19209289550781e-06,5.44041395187378e-05,11.4519090652466,2.36464309692383,2.39295196533203,58.1533355712891
"26","2023-04-30 06:00:00",267.58,266.3,27,19.8,2,267.57958984375,0.984012365341187,9.5367431640625e-07,4.50462102890015e-05,11.0964050292969,2.22348022460938,2.25372314453125,57.9217109680176
"27","2023-04-30 12:00:00",265.61,265.59,-1.2,1.8,-2.4,265.611877441406,0.98039710521698,1.07288360595703e-06,1.38729810714722e-05,6.48353910446167,1.13316917419434,1.17720031738281,0
"28","2023-04-30 18:00:00",265.55,269.33,-22.8,-3.3,13.3,265.547241210938,0.810078322887421,0,0.000111445784568787,2.91641283035278,1.99098968505859,1.99298477172852,0
"29","2023-05-01",270.46,267.25,18,13,7,270.455993652344,0.988070845603943,1.43051147460938e-06,0.000121235847473145,2.30216288566589,6.40825271606445,6.4268798828125,52.9570999145508
"30","2023-05-01 06:00:00",269.85,267.85,22.8,17.4,0.4,269.852600097656,0.986575365066528,1.19209289550781e-06,4.47779893875122e-05,5.59271430969238,3.51210021972656,3.54341125488281,60.5835304260254
"31","2023-05-01 12:00:00",257.72,262.44,-29.5,-9.5,-31.4,257.716247558594,0.969762682914734,1.19209289550781e-07,8.79168510437012e-07,2.95453381538391,0.506061553955078,0.508857727050781,0
"32","2023-05-01 18:00:00",263.78,264.68,-7.4,-0.9,7,263.778564453125,0.949300467967987,0,9.72449779510498e-05,3.56815671920776,0.50471305847168,0.509881973266602,0
"33","2023-05-02",268.02,267.36,9.2,8,10.5,268.025268554688,0.989735007286072,4.17232513427734e-07,0.000310435891151428,7.94241094589233,8.60115242004395,8.60867691040039,31.675178527832
"34","2023-05-02 06:00:00",268.88,268.35,8.1,7.5,3.4,268.877075195312,0.994082689285278,1.78813934326172e-06,0.000283926725387573,9.3670711517334,5.96244812011719,6.05837631225586,22.520357131958
"35","2023-05-02 12:00:00",267.5,267.41,-0.2,1.6,-2.8,267.50244140625,0.989872932434082,4.17232513427734e-07,0.000184863805770874,6.02925777435303,8.31362152099609,8.3753662109375,0
"36","2023-05-02 18:00:00",266.28,266.59,-3.7,-0.7,1.5,266.283264160156,0.986455202102661,1.78813934326172e-07,3.00854444503784e-05,4.32951164245605,2.74425888061523,2.76285934448242,0
"37","2023-05-03",270.06,267.57,16.8,12.9,19.5,270.056091308594,0.975925385951996,5.96046447753906e-08,1.82688236236572e-05,2.98295450210571,2.00024032592773,2.01210021972656,95.0797576904297
"38","2023-05-03 06:00:00",269.99,268.67,12.1,9.7,-4.6,269.989959716797,0.990876853466034,3.69548797607422e-06,0.000172391533851624,4.63624048233032,2.12102890014648,2.16350555419922,28.4988613128662
"39","2023-05-03 12:00:00",260.63,265.98,-41.9,-15.2,-14,260.627746582031,0.936009705066681,0,0,3.72968006134033,0.594720840454102,0.60096549987793,0
"40","2023-05-03 18:00:00",261.79,264.12,-34.2,-12,-21.8,261.790405273438,0.97108781337738,0,7.5995922088623e-07,6.75921964645386,0.0385303497314453,0.0472774505615234,0
"41","2023-05-04",265.52,265.29,2,10.6,2.8,265.519927978516,0.921466708183289,0,0,8.00184059143066,0.0223865509033203,0.0264453887939453,105.776763916016
"42","2023-05-04 06:00:00",268.97,268.14,10.3,23.9,3.3,268.969757080078,0.860644280910492,0,0,6.74693441390991,0.0135154724121094,0.0153522491455078,61.3330841064453
"43","2023-05-04 12:00:00",261.84,265.33,-55.9,-9.2,-12.2,261.835998535156,0.846422970294952,0,0,7.49603462219238,0.000238418579101562,0.00023651123046875,0
