"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall.Amount.Acc..Height...0.","Precipitation.Amount.Acc..Height...0.","Surface Downwelling Shortwave Flux In Air (Height = 0)"
"1","2022-07-14",279.78,278.19,71.6,157,94.8,279.779052734375,0.888292789459229,5.7220458984375e-06,0,5.89214134216309,0,2.91143035888672,454.719940185547
"2","2022-07-14 06:00:00",280.22,278.4,100.4,164.6,27.3,280.220703125,0.869218409061432,3.814697265625e-06,0,7.26412153244019,0,0.863723754882812,442.525207519531
"3","2022-07-14 12:00:00",274.33,275.58,-69,11.5,-18,274.332763671875,0.880863964557648,0,0,6.63456869125366,0,0.0237503051757812,0
"4","2022-07-14 18:00:00",272.09,273.06,-25.3,-3,-31.9,272.084716796875,0.94191300868988,0,0,2.98616647720337,0,0,12.890625
"5","2022-07-15",276.53,275.88,12.9,10.9,44.7,276.529052734375,1.00000333786011,4.14848327636719e-05,0,2.81459879875183,0,0.49249267578125,84.2726211547852
"6","2022-07-15 06:00:00",278.89,277.69,25.3,32.2,11.7,278.88720703125,0.987886726856232,0.000225067138671875,0,2.6154580116272,0,2.03253173828125,106.106475830078
"7","2022-07-15 12:00:00",276.16,276.75,-10.7,1.2,9.1,276.163818359375,0.952183306217194,7.15255737304688e-07,0,2.01783466339111,0,5.50686645507812,0
"8","2022-07-15 18:00:00",273.78,275.2,-63,-0.1,9,273.77880859375,0.90184497833252,0,0,5.34248304367065,0,0.256660461425781,12.6015625
"9","2022-07-16",280.31,277.93,101.2,147,80.8,280.307861328125,0.894748091697693,0,0,5.23796701431274,0,0.0086517333984375,487.317260742188
"10","2022-07-16 06:00:00",278.79,277.82,39.4,41.8,71.4,278.79345703125,0.979921340942383,3.33786010742188e-06,0,5.62360000610352,0,0.627151489257812,188.150451660156
"11","2022-07-16 12:00:00",274.65,275.96,-14.2,1.3,-35.1,274.6455078125,0.856799721717834,0,0,1.29799473285675,0,0.427230834960938,0
"12","2022-07-16 18:00:00",274.35,274.9,-7.6,-5.8,13.1,274.3505859375,1.00000405311584,0.000219821929931641,0,1.5059460401535,0,0.480987548828125,1.9296875
"13","2022-07-17",277.09,277.71,-16,-15.5,41.2,277.090087890625,1.00000238418579,0.000152111053466797,0,2.89054441452026,0,6.52984619140625,10.2344551086426
"14","2022-07-17 06:00:00",279.24,279.7,-18.1,-20.1,47.5,279.241455078125,1.0000011920929,4.81605529785156e-05,0,4.26233005523682,0,2.51264953613281,10.9250736236572
"15","2022-07-17 12:00:00",278.48,278.76,-12.8,-13.3,26.4,278.484375,1.00000286102295,2.62260437011719e-06,0,4.43324995040894,0,2.01291656494141,0
"16","2022-07-17 18:00:00",278.31,278.82,-11.5,-12.1,24.8,278.31005859375,1.00000262260437,0.000994443893432617,0,2.47251844406128,0,1.99831390380859,0.1015625
"17","2022-07-18",280.9,281.01,-8.2,23,65.9,280.90087890625,0.958589792251587,0,0,5.20435237884521,0,1.50822830200195,105.372352600098
"18","2022-07-18 06:00:00",282.04,281.37,24.8,90.1,62.3,282.04150390625,0.920044958591461,3.09944152832031e-06,0,5.51796054840088,0,0.127815246582031,237.067764282227
"19","2022-07-18 12:00:00",276.03,278.13,-51,5.4,-18.1,276.02587890625,0.832445919513702,0,0,3.00707626342773,0,0.0669021606445312,0
"20","2022-07-18 18:00:00",275.15,278.39,-72.8,4,21.6,275.15380859375,0.768297791481018,0,0,2.84585738182068,0,0,8.03125
"21","2022-07-19",287.4,284.43,48.3,106.4,160.8,287.39697265625,0.88514906167984,0,0,1.45589780807495,0,0.00102996826171875,451.725280761719
"22","2022-07-19 06:00:00",287.82,288.21,-9.7,73.4,95.5,287.81884765625,0.778351902961731,0,0,2.6710364818573,0,0.0474472045898438,232.817443847656
"23","2022-07-19 12:00:00",283.58,287.23,-90.3,16.3,22.4,283.5791015625,0.695894777774811,0,0,3.25428462028503,0,0.141319274902344,0
"24","2022-07-19 18:00:00",281.47,286.37,-39.7,12.7,-0.3,281.470458984375,0.593509674072266,0,0,1.07070350646973,0,0,6.515625
"25","2022-07-20",287.11,287.51,-10.7,123,203.9,287.10595703125,0.743334352970123,0,0,2.84632158279419,0,1.22443389892578,428.252868652344
"26","2022-07-20 06:00:00",287.64,288.76,-24.9,38.2,27.1,287.63623046875,0.860780417919159,0,0,2.77282476425171,0,2.5323486328125,62.1394691467285
"27","2022-07-20 12:00:00",282.53,284.22,-12.8,-18.6,38.5,282.525390625,1.00000309944153,4.76837158203125e-06,0,0.604769766330719,0,12.1717834472656,0
"28","2022-07-20 18:00:00",280.19,281.15,-32.9,24,-44.6,280.1904296875,0.891438841819763,0,0,4.06349325180054,0,2.18093109130859,5.7421875
"29","2022-07-21",286.02,283.78,67.7,178,70.2,286.021240234375,0.884752988815308,0,0,3.60859322547913,0,0.229373931884766,473.467224121094
"30","2022-07-21 06:00:00",284.36,282.52,74.3,181.3,25.4,284.357177734375,0.856966435909271,0,0,5.20096635818481,0,0.0255851745605469,426.672637939453
"31","2022-07-21 12:00:00",277.33,279.53,-39.3,-7.6,-11.3,277.331787109375,0.884540379047394,0,0,2.22545742988586,0,0.00157928466796875,0
"32","2022-07-21 18:00:00",275.13,280.28,-97.6,9.7,27.8,275.133544921875,0.645618796348572,0,0,2.4357054233551,0,0.000675201416015625,5.3046875
"33","2022-07-22",286.86,284.29,32.8,124.5,148.7,286.85693359375,0.711687505245209,0,0,0.668806672096252,0.000130653381347656,0.00482177734375,463.161834716797
"34","2022-07-22 06:00:00",288.5,287.64,20.9,230,19.6,288.504150390625,0.609194397926331,0,0,3.30723357200623,0,0.0011138916015625,424.571868896484
"35","2022-07-22 12:00:00",282.5,284.57,-93.7,0.8,28,282.503173828125,0.707722842693329,0,0,5.75383472442627,0,0,0
"36","2022-07-22 18:00:00",280.29,282.21,-49.8,1.1,13,280.294921875,0.750172555446625,0,0,3.26012825965881,0,0,3.6328125
"37","2022-07-23",285.92,284.49,20,49,108.5,285.92041015625,0.851931154727936,0,0,1.49217987060547,0,0,269.602996826172
"38","2022-07-23 06:00:00",286.82,284.78,33.1,18.4,5.2,286.819091796875,0.953571200370789,3.814697265625e-06,0,1.68814778327942,0,0.0334930419921875,87.3286666870117
"39","2022-07-23 12:00:00",280.25,280.98,-6.7,0.4,7.9,280.248046875,0.886922955513,4.76837158203125e-07,0,1.05440580844879,0,0.0618896484375,0
"40","2022-07-23 18:00:00",276.99,279.04,-46.8,6.6,3.5,276.98974609375,0.780415952205658,0,0,2.84804153442383,0,0.0113372802734375,2.4375
"41","2022-07-24",283.67,282.8,14.7,57.1,54.8,283.673828125,0.842898845672607,0,0,2.15760231018066,0,0.0167655944824219,198.267791748047
"42","2022-07-24 06:00:00",281.29,282.12,-27.6,-3.5,52.1,281.287109375,0.950105488300323,5.05447387695312e-05,0,3.92948913574219,0,7.0487060546875,25.2162914276123
"43","2022-07-24 12:00:00",280.91,281.99,-21.8,-28.2,52.6,280.91357421875,1.00000417232513,6.17504119873047e-05,0,2.46928954124451,0,12.0008697509766,0
"44","2022-07-24 18:00:00",280.78,281.47,-10.4,-11.7,23.9,280.78271484375,1.00000512599945,4.76837158203125e-07,0,1.74645745754242,0,8.00399780273438,0.1484375
"45","2022-07-25",280.91,282.31,-10.7,-7.1,32.5,280.912841796875,0.959110260009766,0.000779628753662109,0,0.724658012390137,0,6.91698455810547,13.0413064956665
"46","2022-07-25 06:00:00",282.62,283.08,-17,-24.5,47.1,282.61669921875,1.00000286102295,0.00014495849609375,0,4.02692747116089,0,10.1964111328125,6.52987098693848
"47","2022-07-25 12:00:00",279.55,279.59,-3.8,-4.4,6.9,279.546142578125,1.0000057220459,1.62124633789062e-05,0,3.46775412559509,0,1.46712493896484,0
"48","2022-07-25 18:00:00",277.92,278.1,-4.8,-4.8,8.8,277.925048828125,1.00000596046448,0.000109672546386719,0,2.26342439651489,0,3.39061737060547,0.03125
"49","2022-07-26",278.27,278.49,-4.2,-4.3,20,278.2705078125,1.00000381469727,0.000247478485107422,0,1.73223054409027,0,8.91635131835938,13.993369102478
"50","2022-07-26 06:00:00",278.65,278.69,-5.9,26.8,14.5,278.644775390625,0.953556060791016,1.50203704833984e-05,0,5.44601964950562,0,4.30596160888672,59.5385437011719
"51","2022-07-26 12:00:00",277.16,277.36,-5.6,-5.3,10.6,277.16259765625,1.0000057220459,8.10623168945312e-06,0,2.45089960098267,0,2.03291320800781,0
"52","2022-07-26 18:00:00",274.44,275.9,-70.6,1.1,9.6,274.439208984375,0.897849380970001,0,0,5.85099792480469,0,0.34234619140625,0
"53","2022-07-27",280.52,279.19,58.9,180.9,71.9,280.515625,0.807651221752167,0,0,5.93122911453247,0,0.0300445556640625,461.889862060547
"54","2022-07-27 06:00:00",281.77,280.18,73,176.1,20.8,281.7685546875,0.826769351959229,0,0,6.03868579864502,0,0.00478363037109375,415.022430419922
"55","2022-07-27 12:00:00",275.05,277.85,-42.1,3.4,-31.9,275.048828125,0.782673716545105,0,0,1.88324928283691,0,0.00160980224609375,0
"56","2022-07-27 18:00:00",273.47,280.16,-100.4,4.1,36.6,273.466552734375,0.590902209281921,0,0,1.93609166145325,0,0,0
"57","2022-07-28",284.85,281.94,38.5,96.3,128.6,284.85498046875,0.797808945178986,0,0,0.805247366428375,0,0.003997802734375,386.484191894531
"58","2022-07-28 06:00:00",287.83,285.16,34.1,104.4,89.9,287.82958984375,0.788439810276031,0,0,0.57250189781189,0,0,355.081085205078
"59","2022-07-28 12:00:00",278.32,281.62,-74.7,20.8,-7.8,278.318603515625,0.6671182513237,0,0,2.87983465194702,0,0,0
"60","2022-07-28 18:00:00",277.42,282.85,-83.7,1.3,32.3,277.4150390625,0.657994747161865,0,0,1.99845361709595,0,0,0
"61","2022-07-29",287.36,284.67,34.7,118.4,126.8,287.35595703125,0.734408438205719,0,0,0.945380806922913,0,0,421.536773681641
