"","Glacier name","Lake name","Date","Periods of interest","Already investigated by Vemund?","Latitude","Longitude","Altitude (m.a.s.l)","Year","Month","X","Y"
"1","Austre Okstindbreen","Leirskardsvatnet/Kalvtjønna",1979-06-30,"02.03.1979-30.06.1979","no","66.039647","14.2779041","990",1979,"Juni",2212324.92255491,1038900.27096022
"2","Austre Okstindbreen","Leirskardsvatnet/Kalvtjønna",1979-08-01,"03.04.1979-01.08.1979","no","66.039647","14.2779041","990",1979,"August",2212324.92255491,1038900.27096022
"3","Austre Okstindbreen","Leirskardsvatnet/Kalvtjønna",1982-07-19,"21.03.1982-19.07.1982","no","66.039647","14.2779041","990",1982,"Juli",2212324.92255491,1038900.27096022
"4","Austre Okstindbreen","Leirskardsvatnet/Kalvtjønna",1984-07-29,"31.03.1984-29.07.1984","no","66.039647","14.2779041","990",1984,"Juli",2212324.92255491,1038900.27096022
"5","Austre Okstindbreen","Leirskardsvatnet/Kalvtjønna",1985-07-01,"03.03.1985-01.07.1985","no","66.039647","14.2779041","990",1985,"Juli",2212324.92255491,1038900.27096022
"6","Austre Okstindbreen","Leirskardsvatnet/Kalvtjønna",1986-07-01,"03.03.1986-01.07.1986","no","66.039647","14.2779041","990",1986,"Juli",2212324.92255491,1038900.27096022
"7","Austre Okstindbreen","Leirskardsvatnet/Kalvtjønna",1987-07-16,"18.03.1987-16.07.1987","no","66.039647","14.2779041","990",1987,"Juli",2212324.92255491,1038900.27096022
"8","Bre ved Stegholtbreen",NA,2017-08-27,"29.04.2017-27.08.2017","no","61.7776702","7.3102227","1681",2017,"August",2339640.32902317,469375.518849435
"9","Fortundalsbreen","Heksegryta",2017-08-01,"03.04.2017-01.08.2017","no","61.742711","7.7194788","1531",2017,"August",2357593.89000045,481996.02322501
"10","Fortundalsbreen","Heksegryta",2018-06-20,"20.02.2018-20.06.2018","no","61.742711","7.7194788","1531",2018,"Juni",2357593.89000045,481996.02322501
"11","Fortundalsbreen","Heksegryta",2019-07-01,"03.03.2019-01.07.2019","no","61.742711","7.7194788","1531",2019,"Juli",2357593.89000045,481996.02322501
"12","Fortundalsbreen","Heksegryta",2023-07-02,"04.03.2023-02.07.2023","no","61.742711","7.7194788","1531",2023,"Juli",2357593.89000045,481996.02322501
"13","Frostisen",NA,2018-08-05,"07.04.2018-05.08.2018","no","68.2061874","17.2598288","984",2018,"August",2097971.6096321,1287017.51905577
"14","Harbardsbreen",NA,1996-10-01,"03.06.1996-01.10.1996","no","61.7013668","7.6673257","1417",1996,"Oktober",2358951.56477564,476798.57111129
"15","Harbardsbreen",NA,1997-06-20,"20.02.1997-20.06.1997","no","61.7013668","7.6673257","1417",1997,"Juni",2358951.56477564,476798.57111129
"16","Harbardsbreen",NA,1998-10-01,"03.06.1998-01.10.1998","no","61.7013668","7.6673257","1417",1998,"Oktober",2358951.56477564,476798.57111129
"17","Harbardsbreen",NA,2000-10-01,"03.06.2000-01.10.2000","no","61.7013668","7.6673257","1417",2000,"Oktober",2358951.56477564,476798.57111129
